Title,Post ID,URL,Price,Description,Days Posted,Location
aframe homes energy efficient (amarillo),7550670107,https://amarillo.craigslist.org/reo/7550670107.html,N/A,"DIY aframe homes or commercial buildings,   Put on your land .lot of sizes, by aframetech or new world homes,  All are DIY . CALLS ONLY   show contact info  .  one to three bedroom or even 6 bedroom.",10/27/2022 14:15,N/A
"Texas Apartment Complex
            (google map)
        ",7562915707,https://odessa.craigslist.org/reo/7562915707.html,N/A,"Willowbend Apartments is a 23 units, 2-story apartment complex located in Odessa, TX, headquarter for oil production in the Permian Basin. It is in a high traffic count area. It consists of one, two bedroom units with the average square footage of 600. Laundry room is on the site. Apartments are very well maintained: TPO new roof, new central A/C, new windows, new floor, and new paint. It's a great investment property you don't want to miss. Please call  show contact info  today for more information. Price $2.5M Building size 14042 SF",30 days ago,N/A
Texas Apartment Complex (Odessa),7563687455,https://sanangelo.craigslist.org/reo/7563687455.html,N/A,"Willowbend Apartments is a 23 units, 2-story apartment complex located in Odessa, TX, headquarter for oil production in the Permian Basin. It is in a high traffic count area. It consists of one, two bedroom units with the average square footage of 600. Laundry room is on the site. Apartments are very well maintained: TPO new roof, new central A/C, new windows, new floor, and new paint. It's a great investment property you don't want to miss. Please call  show contact info  today for more information. Price $2.5M Building size 14042 SF",28 days ago,N/A
"Barn 20x20-30x30-30x40-40x40
            (google map)
        ",7566163392,https://lawton.craigslist.org/reo/7566163392.html,N/A,"frame buildings built with 4x4 posts on 10ft centers, 2x4 girts on 2 ft centers , 2x4 purlins on 2 ft centers , 29 gauge low rib sheet metal ran vertically, 3ft walk in door, insulation and 6 inch concrete slab included. 20x20 $14,500 30x30 $16,000 30x40 $19,500 40x40 $27,500",21 days ago,N/A
Triple mobile home lots with utilities - All for one price (Trinidad),7567524883,https://pueblo.craigslist.org/reo/7567524883.html,"$9,999 ","ELECTRIC, WATER and SEWAGE available for each lot (three adjacent platted lots per parcel). Zoned for manufactured homes, but suitable for site built too. Total Parcel size: 0.41 acres (3 adjacent 0.14 acre lots combined) Other parcels available - 0.41 and 0.28 acres. Multiple adjacent parcels (11 lots remaining) can be purchased up to 1.58 acres. See property website for details. Very LEVEL terrain, Incredible VIEWS of mountain ranges and distant trees. Several great building sites offer these great views; No POA/HOA County maintained road to the block Close to major towns and cities: 21 miles to Trinidad, 65 miles to Pueblo Legal: Lakeview Block 21, Lots 4-6, Las Animas County, Colorado. Address: TBD Aspen St, Aguilar, CO (just north of high school) Wholesale discount Cash price only $9,999. (Owner financing is available, however the price is higher at $11,999 with only a minimum of $1500 down). More information found at: https://rzprofessional.com/LasAnimascountylistings.php Please inquire for more information.",17 days ago,N/A
commerical warehouse for lease (Santa Fe),7568776560,https://santafe.craigslist.org/reo/7568776560.html,"$5,000 ","Spacious hard to find warehouse and office space for lease. $5,000 monthly in the same building. 15ft high ceiling with garage door 12 ft high 10ft wide ample parking. Back yard space for extra storage, updated kitchen with a washer and dryer everything is brand new dish washer and electric range. upstair area has 1 bathroom with 2 rooms upstairs that serve as office rooms right now. Down stairs has 2 bathrooms with one being a full bathroom with shower. ADA compliant with sprinkler system. Picture at request.  505 9ten - 7six86",14 days ago,N/A
Property For Sale in Odessa (Odessa),7564005996,https://odessa.craigslist.org/reo/7564005996.html,N/A,INVESTORS SPECIAL!!   Multi-Unit Property in West Odessa for sale!!   Coming up for sale is a commercial frontage property that includes 2 houses and a shop plus 4 RV connections:   Number 1 is a 4 bedroom/2 bathroom mobilehome with a carport.   Number 2 is a 3 bedroom/2 bathroom mobilehome with a garage and a large concrete carport.   Number 3 is a Building/Shop that is 30x30 that has 2 bay doors that measure 10by10.   Property is off University Blvd/ Commercial Frontage right before Moss Rd. The property also has 4 fully functional RV connections. 50 amp service with city water.   All on 1 ACRE of land that is completely fenced in.,27 days ago,N/A
3 Bed-3Bath w/attached Storm Shelter (Newcastle),7557842475,https://oklahomacity.craigslist.org/reb/7557842475.html,"$315,000 ","OCATED IN NEWCASTLE  LISTING PRICE: $315,000.00  3 Bed,  3 1/2 Bath home sits on 1.79 Acres of land. Has a Large Shop Building and a second building with 2-1 bedroom apartments.   Main House: 2475 sq ft Open Concept Floor Plan Washer/Dryer area and Pantry Combo Room Small Storage area next to Living room Large Master Bedroom  Master Closet includes large dressing area  Spacious Master bathroom Each bedroom has a full size bathroom  Attached Storm Shelter in 3rd bedroom Spacious Kitchen Area 4 car carport  Property: Metal Fencing on 3 sides Large entry gate Roof: Metal about 5 years old Large Shop Building with 2 roll up doors and a side entry door--has a bathroom as well 2nd building has 2 one bed, one bath apartments  HORSES AND CHICKENS ALLOWED  Showing by Appointment only--PLEASE DO NOT DISTRUB RESIDENTS  For more information or would like to set up and appointment AllPhase Real Estate at  show contact info  (Office) or Call or Text to  show contact info  (Cell) or  show contact info  (Cell)  Sue Jones Broker-License #047514 AllPhase Real Estate 4501 SE 29th At Del City, OK 73115",about a month ago,3910 W. Fox Lane
Owner carry tri-plex AND also 3  fix and flips for sale (Otero County),7563556332,https://denver.craigslist.org/reo/7563556332.html,N/A,"No Banks or Credit Needed for any property  3plex - $195,000 rents $2500+/-, $35k down payment owner carry 0% for two months, 6.5% interest only for 22 more months and then ideally you have your bank loan.  Also three fix and flips with the estimated numbers below.  I don't know the market extremely well, so we'll have to do some more research on sales price, but I think the following estimates are fair.  In all cases, if you put down the remodel money, I will sell you the property and loan 100% of that back to you as the property gets remodeled and will carry the balance at 0% interest for six months during the flip.   1)  Price $43,500 needs $45k in remodel, comps at $125k-$145k?  Small 2 bedroom one bath with good garage and great yard   2)  Price $65k needs $55k in remodel, comps at $165k-$195k?  Four bed 2 bath 3)  Price $13,500 -  remodel depends on what you turn it into...ARV comps from $30k-$200k+.  This is a commercial property that could maybe go residential, maybe be made into storage units, or many other uses.  I think you could turn it into 4 condos or a 4 plex for $100k and it would be worth over $200,000.  Could also be rented as a giant storage as is to a contractor/plumber type person.  I would think $900/month as is on a $13,500 investment.  These are actually my son's properties, but I can help answer any questions.  thanks, Lanc",28 days ago,N/A
Owner financing buy and holds and flips (La Junta),7565610416,https://denver.craigslist.org/reo/7565610416.html,"$195,000 ","No Banks or Credit Needed for any property  3plex - $195,000 rents $2500+/-, $35k down payment owner carry 0% for two months, 6.5% interest only for 22 more months and then ideally you have your bank loan.  Also three fix and flips with the estimated numbers below. I don't know the market extremely well, so we'll have to do some more research on sales price, but I think the following estimates are fair. In all cases, if you put down the remodel money, I will sell you the property and loan 100% of that back to you as the property gets remodeled and will carry the balance at 0% interest for six months during the flip. 1) Price $43,500 needs $45k in remodel, comps at $125k-$145k? Small 2 bedroom one bath with good garage and great yard 2) Price $65k needs $55k in remodel, comps at $165k-$195k? Four bed 2 bath 3) Price $13,500 - remodel depends on what you turn it into...ARV comps from $30k-$200k+. This is a commercial property that could maybe go residential, maybe be made into storage units, or many other uses. I think you could turn it into 4 condos or a 4 plex for $100k and it would be worth over $200,000. Could also be rented as a giant storage as is to a contractor/plumber type person. I would think $900/month as is on a $13,500 investment.  These are actually my son's properties, but I can help answer any questions. thanks, Lanc",22 days ago,N/A
